entity,date,description,contra_account_label,amount
au,27/03/2026,Direct Debit 142619 TPG Internet DQ3R0IU019J-04JM29,"Operating Expenses:AI, Internet & Website maintenance fees",-99.99
au,26/03/2026,BUNNINGS PYMBLE PYMBLE AU Card xx1999 Value Date: 23/03/2026,Cost of Overhead Related to Service:Operating Expenses,-17.18
au,24/03/2026,ELEVENLABS.IO ELEVENLABS.IO NY US Card xx1999 USD 5.45 Value Date: 20/03/2026,Operating Expenses:Travel Expense,-7.79
au,23/03/2026,Shell Reddy Express Pag Pagewood AU,Operating Expenses:Travel Expense,-26.36
au,22/03/2026,METRO PETROLEUMCROW WOLLONGONG AU,Operating Expenses:Travel Expense,-174.81
au,21/03/2026,Transfer To NAB CommBank App Tow mercedes viano,Cost of Overhead Related to Service:Operating Expenses,-220.0
au,18/03/2026,Trip.com,Operating Expenses:Travel Expense,-483.65
au,18/03/2026,Transfer to xx6947 CommBank app Aus post,Operating Expenses:General Expense,-13.19
au,18/03/2026,Refund Purchase gotogate1121872211,Other Income,725.65
au,17/03/2026,gotogate1121872211,Operating Expenses:Travel Expense,-725.65
au,14/03/2026,Twilio HCRRGNX7DJJFDKB9 844-8144627 CA US Card xx1999 USD 950.45 Value Date: 10/03/2026,"Operating Expenses:AI, Internet & Website maintenance fees",-1366.77
au,13/03/2026,Payrix*WOTSO HOLDINGS WOTSO HOLDINGS--22,Cost of Overhead Related to Service:Operating Expenses,-1300.0
au,10/03/2026,THE SPORTING GLOBE KING STREET W AU Card xx1999 Value Date: 06/03/2026,Operating Expenses:Meals and Entertainment,-123.26
au,10/03/2026,THE SPORTING GLOBE KING STREET W AU Card xx1999 Value Date: 06/03/2026,Operating Expenses:Meals and Entertainment,-15.87
au,10/03/2026,THE SPORTING GLOBE KING STREET W AU Card xx1999 Value Date: 06/03/2026,Operating Expenses:Meals and Entertainment,-18.31
au,28/02/2026,BP CLOVELLY 9005 CLOVELLY AU Card xx1999 Value Date: 25/02/2026,Operating Expenses:Travel Expense,-36.81
au,28/02/2026,SAFETYCULTURE.COM AMSTERDAM NL Card xx1999 USD 261.00 Value Date: 26/02/2026,"Operating Expenses:AI, Internet & Website maintenance fees",-371.58
au,25/02/2026,Transfer to xx6947 CommBank app Aus post,Operating Expenses:General Expense,-27.75
au,24/02/2026,Direct Debit 142619 TPG Internet DQ2O0J9XKNF-04JM29,"Operating Expenses:AI, Internet & Website maintenance fees",-99.99
au,24/02/2026,ELEVENLABS.IO ELEVENLABS.IO NY US Card xx1999 USD 5.45 Value Date: 20/02/2026,Operating Expenses:Travel Expense,-7.76
au,17/02/2026,Return DRIVE MATE MELBOURNE AU Card xx1999 Value Date: 12/02/2026,Other Income,23.05
au,12/02/2026,Transfer To gilton valeo australia CommBank App 20257816 Mart van der Kooi,Cost of Overhead Related to Service:Operating Expenses,-3042.0
au,07/02/2026,SALSAS M/AIR/DEPARTURE DR MELB AIRPORT AU Card xx1999 Value Date: 05/02/2026,Operating Expenses:Travel Expense,-33.78
au,05/02/2026,YARRA BOTANICA SOUTHBANK AU Card xx1999 Value Date: 03/02/2026,Operating Expenses:Travel Expense,-95.14
au,03/02/2026,JETSTAR AIR XL9YKF WWW.JETSTAR.C AU Card xx9039 Value Date: 29/01/2026,Operating Expenses:Travel Expense,-302.57
au,02/02/2026,ZLR*S2SYDNE Mascot AU,Cost of Overhead Related to Service:Operating Expenses,-8.01
au,01/02/2026,DUTCHLINK PTY LTD,"Operating Expenses:AI, Internet & Website maintenance fees",-25.0
au,01/02/2026,Payrix*WOTSO HOLDINGS WOTSO HOLDINGS--22,Cost of Overhead Related to Service:Operating Expenses,-2200.0
au,27/01/2026,Direct Debit 142619 TPG Internet DQ1R0JLCSVU-04JM29,"Operating Expenses:AI, Internet & Website maintenance fees",-99.99
au,24/01/2026,Transfer to xx3529 CommBank app Tpg internet,"Operating Expenses:AI, Internet & Website maintenance fees",-599.0
au,22/01/2026,ELEVENLABS.IO ELEVENLABS.IO NY US Card xx9039 USD 5.45 Value Date: 20/01/2026,Operating Expenses:Travel Expense,-8.18
au,08/01/2026,Transfer To SCOOT PTE. LTD. - $956.7 - P PayID Email from CommBank App PCIVJT - PI1767794006PCIVJT,Operating Expenses:Travel Expense,-956.7
au,08/01/2026,Direct Credit 507141 DrivematePayout Drivemate_TkJoNVYy Direct Credit 507141 Drivemate Drivemate_NkFTsvMP,Other Income,131.58
au,03/01/2026,IPY*WOTSO HOLDINGS NEUTRAL BAY AU Card xx9039 Value Date: 01/01/2026,Cost of Overhead Related to Service:Operating Expenses,-2210.0
au,30/12/2025,Return DRIVE LAH PTE. LTD. SINGAPORE SG Card xx9039 SGD 1.47 Value Date: 23/12/2025,Other Income,1.71
au,30/12/2025,CURSOR USAGE MID DEC CURSOR.COM NY US Card xx9039 USD 100.62 Value Date: 26/12/2025,Subscriptions/ Software expenses,-150.29
au,30/12/2025,CURSOR USAGE NOV CURSOR.COM NY US Card xx9039 USD 58.84 Value Date: 24/12/2025,Subscriptions/ Software expenses,-88.45
au,28/12/2025,Transfer from CommBank app Cash withdrawal,Other Income,144.87
au,27/12/2025,Transfer from CommBank app Cash withdrawal,Other Income,147.0
