counterparty,canonical_coa,freq,distinct_contras,alias_variants,EXISTS_in_live
Twilio,Other Operating Expenses:Technology System Cost,1341,4,Twilio | Twilio-1,yes
Google (deleted),Other Operating Expenses:Marketing - Advertising (new customers),688,4,Google (deleted),NEW
Facebook (deleted),Other Operating Expenses:Marketing - Advertising (new customers),601,2,Facebook (deleted),NEW
Stripe Customer,Uncategorised Income,566,8,Stripe Customer,NEW
Technology,"AI, Internet & Website Maintenance fees",313,3,Technology,NEW
Upwork (deleted),Accrued Expense,259,4,Upwork (deleted),NEW
Salary Expense Ops Contractor Basic,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,246,5,Salary Expense Ops Contractor Basic,NEW
GOOGLE ADS (deleted),Other Operating Expenses:Marketing - Advertising (new customers),232,2,GOOGLE ADS (deleted),NEW
Human Resource Salary payment,Other Operating Expenses:Human Resource - Salary Expense,205,6,Human Resource Salary payment,NEW
Wise (deleted),Accrued Expense,171,10,Wise (deleted),NEW
DRIVE LAH PTE. LTD,Cost of Overhead Related to Service:Operating Expenses,148,2,DRIVE LAH PTE. LTD,NEW
ANTHROPIC,"AI, Internet & Website Maintenance fees",141,1,ANTHROPIC,yes
Sharetribe (deleted),Other Operating Expenses:Technology System Cost,138,2,Sharetribe (deleted),NEW
OCTOPODS (deleted),Other Operating Expenses:Technology System Cost,127,4,OCTOPODS (deleted),NEW
Vigneshsuran So Dhevan,Cost of Overhead Related to Service:Operating Expenses,117,12,Vigneshsuran So Dhevan,yes
GOOGLE,Other Operating Expenses:Marketing - Advertising (new customers),102,2,GOOGLE,NEW
Godaddy (deleted),Other Operating Expenses:Technology System Cost,96,2,Godaddy (deleted),NEW
Cheng Chuan (deleted),Cost of Overhead Related to Service:Operating Expenses,92,5,Cheng Chuan (deleted),NEW
Calendly (deleted),Other Operating Expenses:Technology System Cost,88,2,Calendly (deleted),NEW
GOOGLE Cloud (deleted),Other Operating Expenses:Technology System Cost,78,2,GOOGLE Cloud (deleted),NEW
Jay Balan,Cost of Overhead Related to Service:Operating Expenses,73,10,Jay Balan,yes
docsend (deleted),Other Operating Expenses:Technology System Cost,72,2,docsend (deleted),NEW
Adobe (deleted),Other Operating Expenses:Technology System Cost,71,2,Adobe (deleted),NEW
