txn_id,date,amount,currency,description,matched_counterparty,counterparty_id,match_tier,counterparty_default_coa
106207,2021-08-23,10000.00,AUD,Transfer from NetBank,,,none,
106208,2021-08-25,-199.00,AUD,OFFICEWORKS BENTLEIGH EAS AU Card xx0338 Value Date: 24/08/2021,Officeworks,601,L1/L2,6310
106209,2021-08-31,-273.00,AUD,ASIC NetBank BPAY 17301 2296404214969 Drive lah anl rvw,ASIC,491,L1/L2,6500
106210,2021-09-17,630.00,AUD,Direct Credit 012721 ATO ATO19640421496I002,ATO direct,38,L1/L2,
106211,2021-09-25,-16.51,AUD,BUNNINGS 555000 GORDON AU Card xx0338,Bunnings,506,L1/L2,5062
106212,2021-09-29,-1650.00,AUD,Transfer To ACE Administration Services NetBank Invoice 20.0032 / 42,ACE,28,L1/L2,6500
106653,2021-10-07,9.55,AUD,Direct Credit 533982 Drive Lah Pte. L TRY DRIVE LAH PTE.,,,none,
106654,2021-10-07,-5000.00,AUD,Transfer to other Bank NetBank Attack Pack Adv,,,none,
106655,2021-10-07,50305.17,AUD,Direct Credit 533982 Drive Lah Pte. L DRIVE LAH PTE. LTD,,,none,
106656,2021-10-08,-20000.00,AUD,Transfer to other Bank NetBank Attack pack,,,none,
106657,2021-10-09,-663.00,AUD,Transfer To Edgewear Australia Pty Ltd CommBank App Attack pack,EDGE WEAR,529,L3,6103
106658,2021-10-14,-188.95,AUD,2CO.COM*GLOCKSOFT.COM 164 AMSTERDAM NL Card xx0338 AUD 188.95 Value Date: 11/10/2021,Glocksoft.com,396,L1/L2,6701
106659,2021-10-14,-5.67,AUD,International Transaction Fee Value Date: 11/10/2021,,,none,
106660,2021-10-16,-75.00,AUD,AUST POSTAL CORP MELBOURNE AU Card xx0338 Value Date: 13/10/2021,POST GORDON,321,L1/L2,5065
106661,2021-10-16,-83.32,AUD,"STONLY.COM 36, RUE CHAPT FR Card xx0338 USD 61.00 Value Date: 14/10/2021",Stonly,451,L1/L2,6701
106662,2021-10-16,-2.50,AUD,53.00.60VO.463D.151S.3R.LS 3030 3R852ZZ 3.1.24.42 16 Oct International Transaction Fee Value Date: 14/10/2021,,,none,
106663,2021-10-16,-343.00,AUD,ASIC CommBank app BPAY 1 2296404214969,ASIC,491,L1/L2,6500
106664,2021-10-19,-82.29,AUD,"STONLY.COM 36, RUE CHAPT FR Card xx0338 USD 60.90 Value Date: 17/10/2021",Stonly,451,L1/L2,6701
106665,2021-10-19,-2.47,AUD,International Transaction Fee Value Date: 17/10/2021,,,none,
106666,2021-10-20,-810.70,AUD,ADJUST GMBH BERLIN DE Card xx0338 USD 600.00 Value Date: 16/10/2021,Adjust,364,L1/L2,6701
106667,2021-10-20,-24.32,AUD,International Transaction Fee Value Date: 16/10/2021,,,none,
106668,2021-10-20,-394.57,AUD,WWW.DIGITALMATTER.COM SUBIACO AU Card xx0338 Value Date: 18/10/2021,Digital matter,65,L1/L2,5030
106669,2021-10-20,-284.19,AUD,WWW.DIGITALMATTER.COM SUBIACO AU Card xx0338 Value Date: 18/10/2021,Digital matter,65,L1/L2,5030
106670,2021-10-22,-19.20,AUD,POST ST IVES RETAIL ST ST IVES AU Card xx0338 Value Date: 19/10/2021,POST GORDON,321,L1/L2,5065
